x,y,z
926,262,273
838,403,740
229,272,996
854,459,718
277,363,513
476,282,555
213,320,817
595,165,720
78,402,814
328,650,403
481,723,846
644,360,220
350,365,908
569,988,673
50,485,131
297,325,151
830,926,310
87,972,551
36,660,152
877,24,717
752,948,581
384,424,877
125,102,698
892,378,803
859,708,523
60,129,925
799,687,290
654,472,527
108,227,990
335,428,164
504,524,359
326,612,937
488,231,985
58,137,470
29,598,66
833,250,216
897,634,274
554,200,832
966,968,853
705,140,410
797,838,604
739,723,697
591,683,619
36,466,696
367,295,383
870,68,32
251,505,978
375,970,112
73,423,619
235,131,266
233,555,261
24,525,254
862,416,76
647,745,599
49,810,649
472,410,174
762,676,102
578,696,490
242,506,268
255,420,534
91,388,618
750,363,242
994,383,229
772,403,640
210,41,657
9,660,860
760,429,481
196,937,990
189,70,559
349,501,204
183,36,568
937,30,270
6,805,132
573,906,392
503,959,910
189,781,349
975,569,684
159,151,43
329,779,665
117,685,939
141,954,390
425,208,661
787,592,954
659,838,609
133,256,215
135,933,457
381,546,457
238,859,464
544,8,853
902,120,263
730,854,59
594,89,712
270,308,393
540,886,147
654,96,442
201,573,71
429,773,759
324,435,179
928,734,128
908,863,485
559,215,306
653,392,426
491,539,113
107,531,730
713,886,414
653,998,130
652,959,860
923,108,207
379,526,195
726,154,123
931,988,558
762,720,778
121,77,915
971,488,319
608,579,472
753,111,321
461,711,723
899,265,156
552,513,977
925,124,268
809,973,121
853,730,102
73,631,373
276,913,588
441,328,789
75,121,515
141,863,215
273,820,485
913,137,999
958,747,568
428,828,376
13,293,123
950,688,603
213,451,245
371,852,335
474,239,801
291,183,375
291,452,80
533,702,349
435,433,249
326,348,402
434,707,114
251,467,827
308,54,291
78,365,756
681,13,306
628,876,981
398,415,11
628,90,21
818,604,35
227,216,8
708,451,484
508,231,232
17,523,573
59,843,219
515,416,783
911,765,737
979,182,534
447,281,510
281,647,804
252,980,575
32,380,802
891,690,694
511,300,491
318,47,88
465,471,735
870,507,348
527,812,432
656,922,908
305,182,974
895,244,963
924,114,479
419,653,904
158,529,17
661,47,801
116,165,183
37,175,455
949,353,50
433,691,761
746,1,45
760,133,866
109,760,91
577,324,980
151,571,73
304,549,417
305,376,371
804,270,98
841,680,308
816,858,398
433,497,299
815,2,131
372,129,642
597,183,786
554,914,513
523,286,727
968,510,805
700,519,144
532,916,441
392,369,892
110,487,376
378,296,903
892,477,969
475,986,868
759,924,431
531,972,459
495,536,901
833,716,811
151,331,510
192,587,512
237,510,216
23,315,101
763,43,128
579,2,357
858,415,837
226,569,218
371,535,157
798,991,199
317,690,250
141,16,85
295,363,540
640,51,725
704,784,525
767,306,826
764,861,753
134,888,648
932,232,503
195,523,504
73,35,671
651,485,170
571,547,537
401,496,268
911,337,426
102,720,508
233,509,203
201,174,335
883,73,795
681,677,165
976,969,486
942,843,634
778,516,442
502,662,53
15,808,376
316,722,355
992,274,966
53,874,217
155,701,875
692,218,760
971,617,232
510,497,375
435,527,832
830,675,735
89,646,277
983,579,881
330,632,985
238,782,364
591,232,211
642,888,824
820,295,709
844,266,728
636,583,835
743,878,516
798,181,557
642,159,146
26,91,80
886,887,763
47,489,307
665,596,75
29,868,834
377,814,200
210,741,738
191,337,268
946,37,282
969,402,340
219,375,450
283,144,213
709,738,108
897,460,266
914,183,579
1,816,304
345,385,549
451,760,131
987,253,516
86,11,847
831,688,907
131,726,383
289,436,317
908,655,548
248,402,928
966,335,866
889,585,389
96,824,933
882,908,35
230,977,790
362,899,863
651,406,221
328,384,481
223,148,648
206,292,381
18,352,379
543,165,39
655,513,494
607,934,551
237,694,632
702,808,85
394,613,711
43,438,620
936,478,286
588,230,294
989,453,447
285,902,864
941,629,220
768,106,921
677,361,138
214,171,917
475,55,171
926,638,26
480,248,962
721,167,861
588,82,403
7,640,823
479,541,857
886,257,473
599,944,794
238,590,129
64,291,426
572,915,655
488,249,306
687,631,253
581,826,930
958,729,389
815,406,467
698,425,709
881,865,115
504,685,134
236,223,316
61,247,715
74,240,21
133,764,872
159,848,56
782,88,227
509,77,548
828,482,102
154,700,111
629,161,971
617,428,743
490,188,796
375,461,137
560,665,850
742,867,646
525,388,69
773,159,791
580,134,561
758,841,973
351,321,544
620,689,999
828,546,92
622,275,816
82,499,925
705,335,22
872,878,946
622,169,139
980,499,345
512,340,167
671,934,226
333,733,776
504,365,331
789,89,868
412,909,977
115,510,760
850,226,17
408,720,715
635,450,888
726,834,492
193,841,782
603,798,918
66,138,493
917,484,489
690,237,891
87,111,409
153,258,185
923,290,382
540,20,688
600,980,894
449,737,692
542,471,730
672,177,379
251,688,82
332,768,267
321,182,822
523,837,624
165,250,849
702,431,662
280,449,975
72,900,193
777,569,119
121,253,589
789,144,21
174,703,971
649,976,891
195,46,782
92,38,302
492,829,539
957,686,445
769,274,929
221,991,809
285,556,667
779,947,959
1,507,38
765,199,852
43,875,211
884,281,334
657,820,205
778,500,460
956,833,816
792,94,521
489,481,650
206,558,925
877,694,305
927,260,706
977,562,821
19,704,576
269,32,87
201,598,241
388,431,945
343,334,248
190,364,367
620,279,922
576,512,149
178,135,390
112,394,994
635,155,241
118,208,22
575,77,725
891,968,664
981,64,90
151,693,952
46,113,95
751,570,901
87,574,590
137,222,771
697,700,679
688,902,763
211,933,425
218,35,591
65,431,770
488,340,228
286,539,762
401,945,948
672,538,13
521,44,402
463,912,259
317,964,775
376,318,626
896,767,715
339,422,753
938,935,53
126,298,944
870,694,127
574,92,289
20,686,413
24,46,142
798,420,276
200,122,559
695,996,330
511,924,545
792,475,493
535,806,54
766,412,819
941,153,494
346,332,348
996,989,368
73,327,975
463,662,140
154,323,512
887,889,911
685,80,547
215,538,676
208,940,777
344,554,321
635,668,985
473,703,903
967,319,635
340,772,449
324,438,971
957,294,143
90,549,344
719,245,151
547,978,921
614,568,840
198,59,230
587,925,790
737,886,495
869,84,52
599,951,843
517,979,14
570,700,605
556,19,783
444,586,579
630,554,105
304,716,602
986,996,870
672,769,758
51,752,92
234,74,480
765,810,810
52,234,742
32,776,262
978,667,550
342,320,414
15,406,649
293,592,741
498,293,59
916,456,852
66,702,961
974,913,554
234,893,885
929,371,393
371,854,441
254,492,246
75,831,800
771,156,376
810,781,266
948,690,928
250,315,15
248,329,865
486,23,790
397,177,247
321,123,669
207,887,415
921,832,971
34,364,880
836,62,598
928,209,725
653,620,646
758,467,626
603,454,926
981,708,253
140,309,660
312,151,15
942,523,25
537,52,184
528,279,115
916,767,447
512,961,887
793,301,134
333,138,321
739,750,173
681,892,87
375,347,872
238,322,884
636,635,576
388,771,531
854,747,266
552,981,550
786,993,400
711,877,688
663,957,59
792,712,677
124,920,344
786,555,724
98,502,632
42,892,610
826,704,586
854,351,740
358,782,873
727,803,401
49,429,652
551,338,797
843,383,495
422,8,279
37,661,86
632,715,800
902,124,963
323,961,37
755,292,910
415,12,529
121,61,605
542,914,973
608,842,808
864,205,83
158,783,929
274,887,619
518,807,690
33,103,538
660,909,317
497,68,310
529,250,724
126,683,563
184,513,29
869,364,669
515,230,656
676,929,712
598,412,418
39,584,377
39,858,975
550,8,393
724,190,760
686,16,378
639,588,688
951,662,956
101,181,611
999,474,808
547,970,273
353,728,636
506,536,909
657,882,324
845,31,584
711,746,468
744,587,971
180,720,383
279,388,315
356,922,731
678,971,487
613,859,389
286,238,880
357,614,46
993,704,583
818,263,998
280,988,772
733,549,891
749,562,77
750,393,317
305,617,27
16,95,967
150,748,697
880,677,155
650,248,801
979,221,14
41,318,829
739,576,763
876,936,318
874,204,169
824,210,479
78,253,676
651,37,642
28,92,730
504,783,258
542,665,626
313,741,76
640,477,656
218,514,378
387,884,63
24,509,285
231,5,960
124,902,698
512,433,676
221,932,223
313,89,150
108,58,698
560,463,896
749,976,856
526,42,141
376,625,298
752,726,686
858,281,311
398,611,382
279,82,91
445,245,759
145,61,380
107,393,407
564,894,219
254,119,886
241,453,681
191,848,343
915,821,120
776,627,812
847,839,145
142,280,185
706,536,675
988,99,478
173,192,389
651,312,209
585,116,320
221,238,611
642,517,275
899,836,862
210,607,524
756,77,859
270,197,788
116,480,56
68,978,347
437,67,269
292,240,238
207,5,352
276,129,639
483,595,355
319,338,681
271,400,455
491,292,934
229,949,743
968,649,839
661,814,279
225,694,328
42,450,48
646,761,968
44,98,155
278,794,131
83,912,855
712,677,207
37,175,898
610,73,492
425,269,954
759,149,543
958,576,223
296,351,345
788,262,404
314,736,131
52,354,667
962,657,493
166,420,948
993,704,583
575,128,624
561,408,525
776,558,89
924,484,987
227,16,450
665,924,604
743,946,734
718,394,782
428,115,48
540,428,21
942,323,334
383,434,202
101,864,246
632,795,299
132,629,25
90,722,663
790,957,960
606,398,885
216,983,949
53,629,422
856,304,313
858,851,528
690,411,306
348,135,551
571,683,284
477,783,821
427,707,315
909,156,572
463,675,75
13,557,97
621,848,657
12,62,373
600,262,883
319,300,969
42,695,333
585,421,842
490,409,235
602,394,546
179,374,214
651,535,109
420,666,81
479,77,532
575,594,956
707,676,731
802,470,890
205,494,547
797,170,886
286,635,472
706,927,231
888,118,832
432,469,266
823,144,663
973,758,752
252,662,351
200,233,565
127,755,431
166,353,340
278,157,803
440,523,200
789,456,593
126,741,796
323,868,738
919,374,974
495,363,736
398,776,423
770,46,17
37,696,93
698,271,858
223,236,103
796,367,535
47,121,943
276,554,303
216,377,172
896,506,516
876,589,352
251,483,991
774,581,204
245,853,558
315,918,16
362,697,637
296,597,397
411,352,469
952,277,61
348,180,627
737,33,955
327,920,560
132,573,298
915,744,767
407,290,371
971,49,602
881,480,634
389,703,259
523,457,721
468,560,571
951,44,979
229,847,922
429,529,761
670,792,887
285,850,715
869,694,931
111,466,764
548,91,680
376,272,680
695,925,55
989,657,16
103,572,517
378,219,740
843,944,840
143,649,553
919,786,216
836,438,477
957,664,536
565,755,543
858,525,644
137,253,93
904,559,490
153,341,906
775,524,453
943,66,492
455,744,532
332,46,673
490,606,778
179,882,744
807,315,907
318,851,175
274,90,193
987,609,352
855,652,370
696,640,998
276,708,559
92,144,166
396,54,74
837,909,815
639,375,390
471,471,438
339,28,313
172,61,783
611,34,525
251,31,999
574,565,955
973,584,848
558,618,332
329,336,248
683,600,842
741,413,841
145,121,873
519,440,395
405,48,621
743,350,737
975,836,703
931,118,358
943,331,855
343,729,712
340,271,926
604,100,36
33,635,125
5,199,274
65,29,823
213,560,718
936,162,980
643,232,936
506,77,248
835,765,4
228,88,540
375,733,371
434,265,157
752,808,583
51,828,243
878,473,379
90,825,479
995,380,972
722,158,505
41,349,821
419,316,811
860,82,446
930,839,731
14,40,828
261,71,921
791,901,998
473,703,903
651,687,163
373,805,864
25,352,79
824,307,879
907,994,64
863,594,891
749,763,336
14,203,932
660,668,898
162,780,482
559,906,170
728,853,146
91,324,496
592,381,558
877,423,960
618,276,744
560,980,538
364,78,556
326,390,309
233,321,496
447,402,791
983,448,334
590,447,670
308,404,501
972,262,54
46,823,311
592,830,318
371,895,528
597,385,867
330,593,335
4,198,90
523,190,419
711,207,397
786,406,756
655,990,151
679,915,609
214,706,658
84,107,714
563,878,420
244,140,851
496,248,486
784,992,665
107,492,230
242,901,140
697,614,629
852,866,76
486,984,234
211,637,266
504,647,137
13,248,719
969,704,532
349,498,53
28,539,393
73,478,238
528,479,48
905,785,458
324,459,950
988,36,197
109,195,142
911,54,457
827,302,265
626,832,921
234,640,913
880,40,11
822,362,957
726,978,333
696,529,796
158,162,598
817,332,515
584,760,563
379,411,707
638,940,277
465,36,284
268,121,73
203,803,422
104,46,899
995,232,362
466,26,417
235,14,632
545,567,295
184,623,59
353,984,295
646,225,756
494,567,645
138,687,98
950,107,512
291,172,248
379,901,794
361,646,395
506,624,584
848,217,176
749,239,425
338,775,522
812,127,329
675,838,822
195,967,705
872,156,179
119,545,975
877,73,176
418,293,849
975,57,541
972,871,579
130,873,210
213,404,714
543,531,431
621,472,544
147,899,555
416,560,898
767,632,405
356,348,469
440,369,540
411,376,765
535,375,997
995,650,315
455,577,773
149,880,209
445,171,562
149,823,158
68,526,26
734,218,614
444,303,660
674,795,103
593,111,897
42,139,656
667,733,6
979,423,330
187,465,210
838,256,523
296,927,896
77,145,346
67,496,324
670,258,501
173,134,374
278,775,714
986,558,387
843,465,609
66,76,853
284,894,660
588,45,5
844,696,626
182,60,392
151,766,317
851,665,366
594,456,658
316,976,178
697,73,781
655,351,680
430,484,393
260,269,172
307,137,299
687,149,421
709,135,978
962,817,962
430,835,968
433,466,711
544,489,345
724,57,676
848,594,505
996,33,45
383,895,849
629,584,675
67,890,89
255,261,884
411,104,708
654,459,662
914,953,165
996,885,839
763,413,37
277,66,918
812,857,377
352,170,211
43,969,326
915,2,446
583,443,936
10,965,475
382,738,3
586,429,369
9,257,13
555,751,761
997,47,26
779,479,940
111,116,945
825,943,779
273,58,256
601,894,375
883,220,318
983,956,246
382,623,710
617,78,198
246,793,379
631,138,990
822,911,549
684,690,250
176,434,878
605,996,148
900,659,692
304,465,338
80,558,576
738,345,231
555,646,500
905,987,807
389,875,553
111,905,659
198,771,867
766,282,110
312,948,32
669,400,511
564,323,980
194,281,517
249,313,441
957,785,411
531,180,587
548,813,792
203,170,282
475,74,294
95,412,971
205,405,299
564,242,56
526,476,944
337,14,427
568,250,685
56,566,23
811,51,159
128,861,416
16,573,138
740,648,459
999,699,71
502,400,47
586,549,320
267,274,97
346,687,817
525,70,552
440,79,217
81,221,726
340,964,346
283,337,459
786,134,189
231,807,95
225,64,176
501,127,264
848,383,968
127,200,254
222,118,505
357,798,361
600,87,214
640,304,956
977,602,130
131,462,598
20,584,33
80,443,572
122,59,653
891,904,150
434,585,230
680,26,764
680,287,145
868,148,387
380,829,54
651,484,939
229,301,440
854,390,878
382,556,131
278,983,554
189,956,327
936,465,882
663,745,43
782,595,206
416,753,68
3,316,316
167,929,392
722,963,18
400,792,912
317,679,584
180,866,152
226,154,153
252,566,807
893,139,801
147,531,584
32,408,649
613,29,170
635,879,883
702,968,504
536,793,616
892,342,777
763,12,644
625,767,19
607,96,594
445,570,918
765,978,740
757,399,837
760,205,723
182,823,157
132,247,994
154,961,266
843,22,412
244,164,844
344,777,461
219,526,264
442,887,628
585,581,431
86,728,336
230,564,360
233,22,426
827,300,29
53,755,229
151,831,156
788,657,248
801,8,186
738,742,576
81,545,86
977,181,530
964,926,604
634,29,156
434,154,277
514,755,526
761,654,751
882,417,117
941,816,244
228,587,684
527,273,62
114,366,776
61,111,623
945,806,947
686,435,505
252,505,415
703,636,249
531,552,20
565,220,147
696,496,317
917,237,766
297,718,216
769,548,542
23,299,293
793,429,638
421,75,629
167,408,376
45,668,142
567,81,983
202,807,841
139,529,573
876,117,855
709,287,120
893,562,360
594,559,427
168,276,559
922,311,778
717,271,866
978,53,919
558,302,693
143,625,646
459,856,233
911,698,867
835,867,759
674,277,82
538,904,317
944,655,793
142,701,575
138,906,957
194,927,925
667,50,2
321,714,672
650,778,55
40,782,842
959,153,522
351,766,832
153,67,561
818,267,680
751,253,669
780,50,367
778,814,458
208,769,172
831,736,507
306,895,460
332,821,94
847,967,84
330,608,530
343,329,640
139,974,64
976,848,40
93,124,453
143,895,852
976,441,433
282,203,323
57,243,401
962,936,138
57,524,660
82,13,133
318,27,635
911,452,279
101,81,648
228,897,147
203,569,316
474,370,146
951,132,869
417,690,273
429,125,868
329,468,619
631,281,706
790,94,230
139,81,133
169,833,881
849,378,279
140,137,644
489,202,255
101,292,715
927,696,83
943,603,854
761,553,314
772,698,461
235,882,493
906,841,142
989,428,199
268,302,459
540,690,659
550,144,388
121,851,825
639,585,221
425,850,176
21,268,437
707,839,950
128,981,948
640,552,633
773,215,946
965,448,128
96,166,723
526,470,201
540,316,772
74,249,555
300,154,805
885,989,545
410,672,87
85,85,466
335,4,787
146,199,859
316,626,27
754,344,284
223,925,757
584,184,898
155,236,540
80,937,526
226,971,941
878,70,874
871,382,943
196,485,168
216,153,709
964,218,656
316,363,269
578,540,98
903,390,753
142,847,390
409,411,254
755,106,35
209,606,762
241,386,171
741,392,979
343,703,556
436,976,881
193,514,651
351,594,994
540,64,545
301,241,959
286,75,126
789,682,967
192,913,128
696,140,938
633,579,529
895,690,330
41,66,710
592,747,960
66,68,238
393,789,777
283,537,579
950,756,734
74,264,51
738,436,542
271,759,110
587,400,650
551,497,407
260,551,124
707,534,195
996,994,515
412,815,543
766,612,713
427,170,188
414,617,270
362,432,585
676,855,482
37,683,301
322,132,812
376,92,418
403,809,416
436,508,360
409,626,285
470,462,142
617,338,90
518,775,429
830,231,475
855,674,31
109,303,584
792,656,132
430,424,331
988,709,716
323,825,919
692,510,692
730,156,540
755,203,67
18,680,723
310,962,169
107,410,782
379,219,580
268,555,401
996,885,839
277,636,863
184,635,608
403,323,618
595,509,333
927,631,106
375,898,982
118,333,820
401,684,500
98,768,975
469,464,505
374,520,43
358,298,926
536,500,971
365,23,963
399,663,809
648,473,587
463,594,851
340,146,760
350,631,874
654,797,969
514,54,571
265,355,148
340,772,449
318,28,41
379,23,972
487,722,756
926,910,140
406,732,723
642,829,424
583,454,908
558,858,283
813,704,738
173,150,315
845,366,41
931,356,910
52,720,430
305,401,541
183,626,863
961,964,920
744,414,308
508,529,132
623,922,642
586,644,268
770,381,505
631,302,931
99,914,705
427,17,844
228,411,296
189,297,765
105,270,608
801,254,264
187,545,940
128,635,364
482,833,304
991,676,929
526,146,877
294,111,925
554,936,283
451,411,523
717,984,714
901,354,959
62,709,246
294,839,894
420,659,173
353,864,278
12,25,773
572,90,817
68,912,364
40,334,518
214,623,847
90,169,167
976,56,352
44,252,475
242,947,312
469,639,465
413,36,159
395,984,969
88,528,848
141,260,942
552,89,417
63,512,423
891,701,583
473,561,203
348,284,967
72,486,548
555,91,301
26,111,167
475,717,96
413,792,566
686,392,427
380,138,506
579,196,973
124,154,546
518,793,931
425,269,954
621,84,715
95,955,109
812,497,765
505,927,878
83,670,237
687,476,55
219,169,58
816,962,716
26,940,533
955,642,31
536,287,297
541,78,877
699,44,583
477,403,595
700,634,849
875,879,247
890,523,466
85,229,465
197,179,803
789,401,364
213,350,203
111,279,989
422,788,876
609,488,690
426,621,859
801,674,667
464,120,16
982,975,38
455,637,65
403,9,241
298,783,81
119,848,849
746,346,295
65,29,823
580,589,307
900,355,742
163,670,333
768,581,243
2,140,93
379,276,105
187,912,622
27,940,705
172,203,833
525,2,211
42,248,795
713,747,970
730,121,161
761,914,888
270,815,663
464,82,137
757,578,250
222,244,837
598,995,690
309,94,179
211,350,532
10,451,497
988,526,708
510,968,751
504,604,341
849,711,86
897,268,164
728,196,644
94,901,597
88,811,929
126,226,217
141,627,197
477,593,89
301,460,801
887,814,144
989,875,802
579,439,710
640,645,315
978,388,980
444,177,338
449,107,154
709,924,876
633,661,107
451,412,338
694,138,217
252,828,722
9,858,700
456,647,442
252,245,459
743,81,447
965,666,745
726,426,737
914,24,683
41,843,480
955,108,25
354,799,433
912,842,697
672,921,224
818,126,261
796,953,681
697,29,568
598,455,645
789,875,459
230,549,553
658,880,717
503,57,277
824,980,899
481,228,833
145,852,387
865,633,489
211,84,824
579,771,724
146,950,113
846,179,763
208,545,148
417,925,660
686,392,427
757,51,283
29,719,178
919,584,997
588,481,756
166,269,623
412,664,644
655,721,908
505,657,395
771,16,955
523,248,712
92,75,507
2,878,898
808,987,125
787,639,636
266,141,457
794,240,17
147,907,990
277,830,252
202,611,930
703,868,528
445,36,356
940,468,125
830,703,722
457,542,481
355,681,924
228,669,474
702,285,764
741,63,779
581,972,683
676,420,322
993,795,947
817,645,207
367,321,895
528,892,480
957,437,590
483,21,65
779,288,453
10,477,528
219,868,593
710,385,198
524,37,351
131,301,90
719,340,209
148,884,547
706,546,613
568,310,713
851,39,124
676,184,79
382,95,851
383,844,207
754,309,983
535,768,791
788,282,42
916,484,403
834,62,593
292,271,187
303,50,53
774,259,880
650,85,227
196,585,420
426,765,834
969,583,9
964,638,694
518,725,849
908,471,4
443,931,922
228,316,693
260,521,190
264,971,718
267,990,707
964,782,823
128,961,681
995,340,155
268,121,73
61,737,930
517,914,394
621,224,674
565,220,147
383,745,964
660,658,837
284,177,47
158,209,208
155,112,991
890,562,40
396,991,250
830,855,703
857,314,972
169,336,26
719,850,318
84,151,963
541,992,73
93,267,124
249,749,847
240,350,431
979,382,691
587,565,584
611,287,632
896,163,804
399,502,524
636,441,978
344,153,330
354,620,955
880,375,72
377,535,211
701,402,990
578,162,496
289,587,920
247,764,327
499,406,415
686,899,739
617,479,331
230,643,677
459,472,271
975,803,664
468,667,719
2,377,203
361,496,744
993,213,175
623,856,235
318,920,480
716,871,60
553,739,672
268,323,403
502,950,984
497,267,999
963,682,34
39,830,574
160,903,77
307,70,162
681,451,613
757,481,971
397,496,465
114,395,785
79,607,248
295,640,665
384,181,476
524,531,830
879,975,35
667,363,197
473,734,764
411,981,63
170,387,686
668,845,476
849,60,217
502,695,771
545,909,659
478,929,25
575,633,27
482,17,426
138,992,512
905,305,796
345,554,50
325,9,83
522,653,402
748,413,825
35,142,862
721,913,235
710,396,205
582,973,414
954,337,151
732,168,83
244,510,451
670,903,76
641,720,67
189,64,243
908,995,882
416,794,28
561,687,737
997,767,645
806,545,37
935,903,181
701,267,549
860,889,448
952,215,814
913,124,376
78,849,890
346,561,483
521,656,547
188,210,866
68,224,440
632,837,287
289,695,609
502,37,830
931,474,373
594,275,584
750,981,512
239,671,435
791,931,712
284,389,724
744,431,78
993,461,466
683,269,569
985,599,916
109,336,474
171,425,674
804,498,724
155,272,272
671,686,580
518,375,963
216,337,674
855,894,102
624,476,840
719,843,954
128,980,679
373,458,889
237,510,216
705,308,501
455,646,334
9,783,617
920,178,47
935,178,629
884,776,847
858,619,483
427,713,987
716,99,522
836,416,162
602,107,609
893,285,911
399,516,589
153,65,603
411,459,115
213,670,838
816,447,135
523,613,9
346,652,561
301,800,231
982,18,275
670,882,111
508,255,749
522,170,565
569,73,98
452,806,608
345,961,88
77,363,253
723,564,818
120,202,622
954,383,499
901,354,959
859,353,824
839,783,350
157,392,952
391,578,201
850,45,808
539,675,131
887,784,309
177,578,576
562,441,984
990,240,769
547,386,243
387,193,340
255,653,730
34,915,942
864,374,590
480,732,69
395,379,488
139,624,55
146,688,258
265,678,66
136,784,559
216,342,373
399,990,512
696,828,617
117,919,752
